R, G, B
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
4,4,4
4,4,4
3,3,3
5,5,5
5,5,5
7,7,7
10,10,10
16,16,16
24,24,24
36,36,36
43,43,43
46,46,46
41,41,41
43,43,43
44,44,44
42,42,42
44,44,44
48,48,48
53,53,53
66,66,66
84,84,84
95,95,95
101,101,101
87,87,87
65,65,65
46,46,46
29,29,29
17,17,17
11,11,11
9,9,9
6,6,6
6,6,6
4,4,4
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
4,4,4
3,3,3
5,5,5
4,4,4
4,4,4
5,5,5
4,4,4
5,5,5
6,6,6
6,6,6
6,6,6
7,7,7
7,7,7
6,6,6
7,7,7
7,7,7
7,7,7
8,8,8
7,7,7
6,6,6
6,6,6
6,6,6
5,5,5
5,5,5
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
4,4,4
5,5,5
5,5,5
6,6,6
7,7,7
9,9,9
12,12,12
13,13,13
16,16,16
17,17,17
5,5,5
5,5,5
6,6,6
7,7,7
9,9,9
11,11,11
17,17,17
30,30,30
48,48,48
70,70,70
91,91,91
106,106,106
103,103,103
85,85,85
66,66,66
51,51,51
48,48,48
45,45,45
41,41,41
35,35,35
28,28,28
20,20,20
14,14,14
11,11,11
8,8,8
7,7,7
7,7,7
6,6,6
6,6,6
5,5,5
5,5,5
5,5,5
5,5,5
4,4,4
4,4,4
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
7,7,7
9,9,9
11,11,11
15,15,15
26,26,26
39,39,39
49,49,49
55,55,55
66,66,66
73,73,73
77,77,77
75,75,75
66,66,66
61,61,61
62,62,62
60,60,60
54,54,54
51,51,51
46,46,46
40,40,40
37,37,37
25,25,25
15,15,15
11,11,11
9,9,9
7,7,7
5,5,5
5,5,5
4,4,4
4,4,4
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
2,2,2
2,2,2
3,3,3
3,3,3
2,2,2
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
4,4,4
4,4,4
5,5,5
6,6,6
9,9,9
12,12,12
20,20,20
29,29,29
37,37,37
41,41,41
40,40,40
40,40,40
40,40,40
40,40,40
40,40,40
45,45,45
51,51,51
58,58,58
70,70,70
84,84,84
90,90,90
78,78,78
63,63,63
44,44,44
25,25,25
14,14,14
11,11,11
7,7,7
6,6,6
6,6,6
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
4,4,4
4,4,4
4,4,4
3,3,3
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
5,5,5
5,5,5
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
5,5,5
5,5,5
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
4,4,4
4,4,4
5,5,5
5,5,5
5,5,5
6,6,6
6,6,6
8,8,8
10,10,10
11,11,11
13,13,13
14,14,14
5,5,5
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
13,13,13
19,19,19
35,35,35
56,56,56
73,73,73
90,90,90
87,87,87
74,74,74
59,59,59
51,51,51
48,48,48
44,44,44
36,36,36
26,26,26
20,20,20
14,14,14
12,12,12
10,10,10
8,8,8
8,8,8
7,7,7
6,6,6
6,6,6
6,6,6
5,5,5
4,4,4
4,4,4
5,5,5
5,5,5
4,4,4
4,4,4
5,5,5
5,5,5
6,6,6
6,6,6
7,7,7
9,9,9
12,12,12
20,20,20
32,32,32
45,45,45
55,55,55
66,66,66
72,72,72
74,74,74
71,71,71
68,68,68
66,66,66
68,68,68
65,65,65
66,66,66
60,60,60
46,46,46
40,40,40
32,32,32
22,22,22
15,15,15
12,12,12
9,9,9
7,7,7
5,5,5
5,5,5
4,4,4
4,4,4
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
2,2,2
2,2,2
2,2,2
3,3,3
2,2,2
2,2,2
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
2,2,2
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
4,4,4
4,4,4
4,4,4
5,5,5
7,7,7
9,9,9
14,14,14
21,21,21
29,29,29
35,35,35
35,35,35
35,35,35
38,38,38
38,38,38
40,40,40
43,43,43
49,49,49
52,52,52
61,61,61
66,66,66
69,69,69
64,64,64
52,52,52
34,34,34
19,19,19
13,13,13
9,9,9
7,7,7
6,6,6
5,5,5
4,4,4
4,4,4
4,4,4
3,3,3
4,4,4
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
4,4,4
4,4,4
4,4,4
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
4,4,4
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
4,4,4
4,4,4
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
6,6,6
6,6,6
6,6,6
7,7,7
9,9,9
10,10,10
11,11,11
14,14,14
5,5,5
5,5,5
5,5,5
5,5,5
6,6,6
8,8,8
9,9,9
14,14,14
21,21,21
32,32,32
48,48,48
59,59,59
65,65,65
58,58,58
50,50,50
47,47,47
43,43,43
37,37,37
28,28,28
19,19,19
14,14,14
11,11,11
10,10,10
9,9,9
8,8,8
6,6,6
6,6,6
6,6,6
5,5,5
5,5,5
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
4,4,4
4,4,4
6,6,6
7,7,7
8,8,8
11,11,11
16,16,16
27,27,27
39,39,39
58,58,58
64,64,64
71,71,71
71,71,71
67,67,67
69,69,69
70,70,70
69,69,69
69,69,69
71,71,71
60,60,60
47,47,47
40,40,40
29,29,29
17,17,17
13,13,13
10,10,10
7,7,7
7,7,7
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
2,2,2
2,2,2
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
10,10,10
15,15,15
21,21,21
25,25,25
29,29,29
30,30,30
33,33,33
37,37,37
41,41,41
44,44,44
49,49,49
52,52,52
54,54,54
54,54,54
53,53,53
49,49,49
37,37,37
24,24,24
14,14,14
10,10,10
8,8,8
6,6,6
5,5,5
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
4,4,4
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
11,11,11
12,12,12
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
6,6,6
7,7,7
9,9,9
13,13,13
17,17,17
27,27,27
36,36,36
44,44,44
42,42,42
37,37,37
36,36,36
31,31,31
26,26,26
18,18,18
13,13,13
11,11,11
9,9,9
8,8,8
8,8,8
7,7,7
7,7,7
6,6,6
6,6,6
5,5,5
5,5,5
5,5,5
4,4,4
4,4,4
5,5,5
5,5,5
4,4,4
5,5,5
4,4,4
5,5,5
5,5,5
5,5,5
6,6,6
7,7,7
9,9,9
13,13,13
21,21,21
35,35,35
53,53,53
60,60,60
64,64,64
64,64,64
63,63,63
69,69,69
71,71,71
72,72,72
74,74,74
73,73,73
58,58,58
42,42,42
32,32,32
23,23,23
15,15,15
11,11,11
8,8,8
7,7,7
6,6,6
5,5,5
4,4,4
4,4,4
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
2,2,2
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
7,7,7
9,9,9
14,14,14
18,18,18
23,23,23
27,27,27
27,27,27
33,33,33
40,40,40
44,44,44
47,47,47
48,48,48
46,46,46
37,37,37
34,34,34
32,32,32
23,23,23
15,15,15
12,12,12
9,9,9
7,7,7
6,6,6
5,5,5
5,5,5
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
4,4,4
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
3,3,3
3,3,3
4,4,4
3,3,3
4,4,4
4,4,4
3,3,3
4,4,4
5,5,5
5,5,5
4,4,4
5,5,5
6,6,6
6,6,6
7,7,7
9,9,9
10,10,10
11,11,11
5,5,5
5,5,5
5,5,5
4,4,4
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
11,11,11
15,15,15
20,20,20
23,23,23
23,23,23
22,22,22
20,20,20
19,19,19
16,16,16
12,12,12
11,11,11
9,9,9
8,8,8
7,7,7
7,7,7
7,7,7
6,6,6
5,5,5
5,5,5
5,5,5
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
5,5,5
6,6,6
8,8,8
10,10,10
16,16,16
26,26,26
39,39,39
46,46,46
52,52,52
57,57,57
62,62,62
70,70,70
78,78,78
81,81,81
75,75,75
68,68,68
51,51,51
36,36,36
24,24,24
17,17,17
13,13,13
10,10,10
7,7,7
6,6,6
6,6,6
4,4,4
4,4,4
4,4,4
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
2,2,2
2,2,2
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
2,2,2
3,3,3
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
4,4,4
4,4,4
4,4,4
6,6,6
6,6,6
8,8,8
11,11,11
17,17,17
20,20,20
22,22,22
23,23,23
32,32,32
33,33,33
33,33,33
34,34,34
31,31,31
22,22,22
19,19,19
18,18,18
13,13,13
11,11,11
10,10,10
7,7,7
7,7,7
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
4,4,4
4,4,4
4,4,4
3,3,3
4,4,4
4,4,4
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
5,5,5
5,5,5
6,6,6
6,6,6
7,7,7
9,9,9
9,9,9
10,10,10
5,5,5
4,4,4
5,5,5
4,4,4
5,5,5
5,5,5
5,5,5
6,6,6
6,6,6
7,7,7
9,9,9
10,10,10
11,11,11
13,13,13
13,13,13
12,12,12
11,11,11
10,10,10
10,10,10
8,8,8
8,8,8
7,7,7
7,7,7
6,6,6
6,6,6
6,6,6
5,5,5
5,5,5
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
4,4,4
4,4,4
5,5,5
5,5,5
6,6,6
6,6,6
8,8,8
11,11,11
18,18,18
26,26,26
36,36,36
49,49,49
56,56,56
68,68,68
80,80,80
90,90,90
85,85,85
70,70,70
59,59,59
41,41,41
30,30,30
20,20,20
13,13,13
11,11,11
9,9,9
7,7,7
6,6,6
5,5,5
4,4,4
4,4,4
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
2,2,2
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
5,5,5
4,4,4
6,6,6
8,8,8
10,10,10
13,13,13
13,13,13
15,15,15
19,19,19
22,22,22
18,18,18
19,19,19
17,17,17
14,14,14
11,11,11
10,10,10
9,9,9
8,8,8
7,7,7
6,6,6
5,5,5
5,5,5
5,5,5
4,4,4
4,4,4
3,3,3
4,4,4
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
4,4,4
4,4,4
3,3,3
4,4,4
4,4,4
4,4,4
5,5,5
4,4,4
5,5,5
6,6,6
7,7,7
7,7,7
10,10,10
10,10,10
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
6,6,6
7,7,7
7,7,7
8,8,8
9,9,9
8,8,8
8,8,8
8,8,8
7,7,7
6,6,6
6,6,6
7,7,7
6,6,6
5,5,5
6,6,6
5,5,5
5,5,5
4,4,4
5,5,5
4,4,4
4,4,4
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
6,6,6
6,6,6
7,7,7
7,7,7
11,11,11
14,14,14
22,22,22
33,33,33
45,45,45
60,60,60
79,79,79
88,88,88
81,81,81
65,65,65
46,46,46
31,31,31
23,23,23
14,14,14
11,11,11
9,9,9
6,6,6
6,6,6
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
2,2,2
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
2,2,2
3,3,3
2,2,2
2,2,2
3,3,3
2,2,2
2,2,2
2,2,2
2,2,2
3,3,3
3,3,3
2,2,2
2,2,2
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
2,2,2
2,2,2
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
6,6,6
6,6,6
8,8,8
9,9,9
10,10,10
11,11,11
11,11,11
11,11,11
10,10,10
9,9,9
8,8,8
8,8,8
8,8,8
6,6,6
5,5,5
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
4,4,4
4,4,4
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
6,6,6
7,7,7
7,7,7
9,9,9
10,10,10
4,4,4
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
6,6,6
6,6,6
7,7,7
6,6,6
5,5,5
5,5,5
6,6,6
5,5,5
5,5,5
4,4,4
4,4,4
4,4,4
3,3,3
4,4,4
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
6,6,6
6,6,6
7,7,7
9,9,9
13,13,13
19,19,19
27,27,27
39,39,39
51,51,51
60,60,60
59,59,59
45,45,45
32,32,32
20,20,20
14,14,14
11,11,11
9,9,9
7,7,7
6,6,6
6,6,6
4,4,4
4,4,4
4,4,4
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
2,2,2
2,2,2
2,2,2
3,3,3
2,2,2
2,2,2
2,2,2
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
2,2,2
2,2,2
3,3,3
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
2,2,2
2,2,2
3,3,3
2,2,2
2,2,2
3,3,3
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
3,3,3
3,3,3
2,2,2
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
6,6,6
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
6,6,6
5,5,5
6,6,6
5,5,5
5,5,5
5,5,5
5,5,5
4,4,4
4,4,4
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
4,4,4
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
6,6,6
6,6,6
7,7,7
8,8,8
9,9,9
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
5,5,5
5,5,5
6,6,6
5,5,5
5,5,5
6,6,6
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
4,4,4
4,4,4
4,4,4
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
3,3,3
4,4,4
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
6,6,6
7,7,7
8,8,8
10,10,10
15,15,15
18,18,18
23,23,23
29,29,29
26,26,26
21,21,21
17,17,17
13,13,13
10,10,10
9,9,9
7,7,7
6,6,6
5,5,5
4,4,4
4,4,4
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
3,3,3
2,2,2
2,2,2
2,2,2
3,3,3
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
3,3,3
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
3,3,3
2,2,2
3,3,3
2,2,2
2,2,2
2,2,2
2,2,2
3,3,3
2,2,2
2,2,2
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
